"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,230,180","±397","2,230,180","(X)","310,672","±143","310,672","(X)","2,961,136","±361","2,961,136","(X)","1,354,801","±173","1,354,801","(X)","14,061,375","±838","14,061,375","(X)","2,339,140","±478","2,339,140","(X)","1,499,145","±419","1,499,145","(X)","426,154","±87","426,154","(X)","313,703","±112","313,703","(X)","9,302,140","±467","9,302,140","(X)","4,219,103","±579","4,219,103","(X)","537,170","±125","537,170","(X)","700,829","±163","700,829","(X)","5,327,165","±359","5,327,165","(X)","2,854,595","±440","2,854,595","(X)","1,380,087","±310","1,380,087","(X)","1,259,870","±209","1,259,870","(X)","1,965,577","±264","1,965,577","(X)","2,037,067","±323","2,037,067","(X)","730,786","±232","730,786","(X)","2,447,211","±257","2,447,211","(X)","2,858,087","±339","2,858,087","(X)","4,560,164","±487","4,560,164","(X)","2,409,701","±814","2,409,701","(X)","1,307,492","±165","1,307,492","(X)","2,760,226","±407","2,760,226","(X)","497,749","±127","497,749","(X)","827,191","±244","827,191","(X)","1,221,759","±142","1,221,759","(X)","625,337","±147","625,337","(X)","3,604,688","±395","3,604,688","(X)","917,641","±184","917,641","(X)","8,232,039","±1,017","8,232,039","(X)","4,540,697","±422","4,540,697","(X)","368,545","±285","368,545","(X)","5,164,400","±423","5,164,400","(X)","1,721,072","±268","1,721,072","(X)","1,732,887","±235","1,732,887","(X)","5,611,995","±854","5,611,995","(X)","462,598","±288","462,598","(X)","2,236,262","±246","2,236,262","(X)","383,827","±214","383,827","(X)","2,919,698","±359","2,919,698","(X)","10,754,268","±644","10,754,268","(X)","1,054,242","±147","1,054,242","(X)","329,539","±103","329,539","(X)","3,491,185","±609","3,491,185","(X)","3,025,802","±1,111","3,025,802","(X)","886,710","±427","886,710","(X)","2,668,443","±615","2,668,443","(X)","270,625","±109","270,625","(X)","1,555,880","±8,239","1,555,880","(X)"
"        Occupied housing units","1,852,518","±12,189","83.1%","±0.5","248,468","±2,841","80.0%","±0.9","2,519,052","±11,479","85.1%","±0.4","1,142,718","±7,341","84.3%","±0.5","12,944,178","±15,703","92.1%","±0.1","2,108,992","±7,767","90.2%","±0.3","1,357,269","±7,141","90.5%","±0.5","351,085","±3,936","82.4%","±0.9","281,241","±3,152","89.7%","±1.0","7,573,456","±23,478","81.4%","±0.3","3,686,135","±15,528","87.4%","±0.4","455,868","±4,824","84.9%","±0.9","610,872","±4,143","87.2%","±0.6","4,822,046","±12,932","90.5%","±0.2","2,533,270","±10,440","88.7%","±0.4","1,247,932","±7,106","90.4%","±0.5","1,110,407","±6,778","88.1%","±0.5","1,717,706","±9,131","87.4%","±0.5","1,720,801","±8,997","84.5%","±0.4","531,660","±5,774","72.8%","±0.8","2,194,657","±9,484","89.7%","±0.4","2,579,398","±8,290","90.2%","±0.3","3,884,153","±13,696","85.2%","±0.3","2,148,725","±7,378","89.2%","±0.3","1,091,245","±8,803","83.5%","±0.7","2,372,190","±10,844","85.9%","±0.4","416,125","±4,426","83.6%","±0.9","747,562","±4,452","90.4%","±0.5","1,055,158","±6,433","86.4%","±0.5","520,643","±5,191","83.3%","±0.8","3,194,519","±10,274","88.6%","±0.3","758,364","±6,296","82.6%","±0.7","7,209,054","±17,665","87.6%","±0.2","3,882,423","±16,063","85.5%","±0.4","315,134","±3,356","85.5%","±0.9","4,624,669","±14,929","89.5%","±0.3","1,469,342","±7,193","85.4%","±0.4","1,571,678","±6,691","90.7%","±0.4","4,937,771","±13,721","88.0%","±0.2","408,239","±4,139","88.2%","±0.9","1,877,887","±10,574","84.0%","±0.5","334,003","±3,659","87.0%","±0.9","2,556,332","±11,690","87.6%","±0.4","9,535,612","±20,125","88.7%","±0.2","943,147","±4,975","89.5%","±0.5","254,851","±2,815","77.3%","±0.9","3,120,692","±13,161","89.4%","±0.4","2,768,076","±8,506","91.5%","±0.3","722,125","±5,656","81.4%","±0.6","2,326,998","±7,745","87.2%","±0.3","223,619","±4,088","82.6%","±1.5","1,208,438","±9,900","77.7%","±0.6"
"        Vacant housing units","377,662","±12,060","16.9%","±0.5","62,204","±2,847","20.0%","±0.9","442,084","±11,520","14.9%","±0.4","212,083","±7,310","15.7%","±0.5","1,117,197","±15,796","7.9%","±0.1","230,148","±7,836","9.8%","±0.3","141,876","±7,301","9.5%","±0.5","75,069","±3,943","17.6%","±0.9","32,462","±3,150","10.3%","±1.0","1,728,684","±23,510","18.6%","±0.3","532,968","±15,774","12.6%","±0.4","81,302","±4,851","15.1%","±0.9","89,957","±4,117","12.8%","±0.6","505,119","±12,952","9.5%","±0.2","321,325","±10,490","11.3%","±0.4","132,155","±7,084","9.6%","±0.5","149,463","±6,742","11.9%","±0.5","247,871","±9,039","12.6%","±0.5","316,266","±9,027","15.5%","±0.4","199,126","±5,790","27.2%","±0.8","252,554","±9,503","10.3%","±0.4","278,689","±8,259","9.8%","±0.3","676,011","±13,803","14.8%","±0.3","260,976","±7,601","10.8%","±0.3","216,247","±8,805","16.5%","±0.7","388,036","±10,982","14.1%","±0.4","81,624","±4,426","16.4%","±0.9","79,629","±4,525","9.6%","±0.5","166,601","±6,433","13.6%","±0.5","104,694","±5,218","16.7%","±0.8","410,169","±10,346","11.4%","±0.3","159,277","±6,303","17.4%","±0.7","1,022,985","±17,789","12.4%","±0.2","658,274","±16,101","14.5%","±0.4","53,411","±3,466","14.5%","±0.9","539,731","±14,789","10.5%","±0.3","251,730","±7,187","14.6%","±0.4","161,209","±6,714","9.3%","±0.4","674,224","±13,555","12.0%","±0.2","54,359","±4,225","11.8%","±0.9","358,375","±10,628","16.0%","±0.5","49,824","±3,620","13.0%","±0.9","363,366","±11,577","12.4%","±0.4","1,218,656","±20,127","11.3%","±0.2","111,095","±4,967","10.5%","±0.5","74,688","±2,839","22.7%","±0.9","370,493","±13,231","10.6%","±0.4","257,726","±8,752","8.5%","±0.3","164,585","±5,752","18.6%","±0.6","341,445","±7,978","12.8%","±0.3","47,006","±4,120","17.4%","±1.5","347,442","±9,511","22.3%","±0.6"
"    Homeowner vacancy rate","2.1","±0.3","(X)","(X)","1.8","±0.5","(X)","(X)","2.1","±0.3","(X)","(X)","2.1","±0.3","(X)","(X)","1.3","±0.1","(X)","(X)","1.1","±0.2","(X)","(X)","2.2","±0.3","(X)","(X)","2.2","±0.5","(X)","(X)","1.5","±0.7","(X)","(X)","2.5","±0.1","(X)","(X)","1.8","±0.2","(X)","(X)","1.1","±0.4","(X)","(X)","1.7","±0.4","(X)","(X)","1.9","±0.1","(X)","(X)","1.9","±0.2","(X)","(X)","1.3","±0.2","(X)","(X)","2.0","±0.3","(X)","(X)","1.6","±0.2","(X)","(X)","2.0","±0.2","(X)","(X)","2.2","±0.4","(X)","(X)","2.1","±0.2","(X)","(X)","1.1","±0.2","(X)","(X)","1.6","±0.1","(X)","(X)","1.1","±0.2","(X)","(X)","2.0","±0.3","(X)","(X)","1.8","±0.2","(X)","(X)","1.4","±0.4","(X)","(X)","1.1","±0.3","(X)","(X)","2.4","±0.3","(X)","(X)","1.3","±0.3","(X)","(X)","1.9","±0.2","(X)","(X)","2.8","±0.5","(X)","(X)","1.9","±0.1","(X)","(X)","2.0","±0.2","(X)","(X)","1.6","±0.5","(X)","(X)","1.8","±0.1","(X)","(X)","2.1","±0.2","(X)","(X)","1.7","±0.3","(X)","(X)","1.8","±0.1","(X)","(X)","1.8","±0.6","(X)","(X)","1.7","±0.2","(X)","(X)","1.2","±0.4","(X)","(X)","1.9","±0.2","(X)","(X)","1.6","±0.1","(X)","(X)","1.6","±0.3","(X)","(X)","1.5","±0.4","(X)","(X)","1.6","±0.2","(X)","(X)","1.4","±0.2","(X)","(X)","2.1","±0.4","(X)","(X)","1.4","±0.2","(X)","(X)","2.2","±0.7","(X)","(X)","3.6","±0.3","(X)","(X)"
"    Rental vacancy rate","10.3","±0.7","(X)","(X)","5.8","±1.3","(X)","(X)","6.4","±0.5","(X)","(X)","8.1","±0.8","(X)","(X)","3.3","±0.1","(X)","(X)","4.3","±0.4","(X)","(X)","5.6","±0.6","(X)","(X)","8.0","±1.4","(X)","(X)","6.9","±1.2","(X)","(X)","8.3","±0.3","(X)","(X)","6.2","±0.4","(X)","(X)","10.0","±1.1","(X)","(X)","5.4","±0.9","(X)","(X)","6.0","±0.4","(X)","(X)","7.0","±0.4","(X)","(X)","6.2","±0.7","(X)","(X)","8.3","±0.8","(X)","(X)","5.8","±0.6","(X)","(X)","8.4","±0.7","(X)","(X)","6.7","±1.3","(X)","(X)","5.5","±0.5","(X)","(X)","4.0","±0.4","(X)","(X)","5.4","±0.4","(X)","(X)","4.0","±0.5","(X)","(X)","8.6","±0.9","(X)","(X)","6.8","±0.6","(X)","(X)","6.2","±1.2","(X)","(X)","5.0","±0.7","(X)","(X)","8.0","±0.6","(X)","(X)","3.7","±0.9","(X)","(X)","5.0","±0.3","(X)","(X)","9.9","±1.0","(X)","(X)","4.4","±0.2","(X)","(X)","7.0","±0.4","(X)","(X)","9.7","±1.7","(X)","(X)","5.4","±0.3","(X)","(X)","8.1","±0.6","(X)","(X)","3.2","±0.4","(X)","(X)","5.8","±0.3","(X)","(X)","4.6","±0.8","(X)","(X)","8.5","±0.6","(X)","(X)","6.7","±1.2","(X)","(X)","6.7","±0.5","(X)","(X)","7.7","±0.3","(X)","(X)","6.2","±0.8","(X)","(X)","3.8","±1.2","(X)","(X)","5.6","±0.4","(X)","(X)","3.2","±0.4","(X)","(X)","7.9","±1.0","(X)","(X)","4.8","±0.5","(X)","(X)","10.8","±2.2","(X)","(X)","7.7","±0.7","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,230,180","±397","2,230,180","(X)","310,672","±143","310,672","(X)","2,961,136","±361","2,961,136","(X)","1,354,801","±173","1,354,801","(X)","14,061,375","±838","14,061,375","(X)","2,339,140","±478","2,339,140","(X)","1,499,145","±419","1,499,145","(X)","426,154","±87","426,154","(X)","313,703","±112","313,703","(X)","9,302,140","±467","9,302,140","(X)","4,219,103","±579","4,219,103","(X)","537,170","±125","537,170","(X)","700,829","±163","700,829","(X)","5,327,165","±359","5,327,165","(X)","2,854,595","±440","2,854,595","(X)","1,380,087","±310","1,380,087","(X)","1,259,870","±209","1,259,870","(X)","1,965,577","±264","1,965,577","(X)","2,037,067","±323","2,037,067","(X)","730,786","±232","730,786","(X)","2,447,211","±257","2,447,211","(X)","2,858,087","±339","2,858,087","(X)","4,560,164","±487","4,560,164","(X)","2,409,701","±814","2,409,701","(X)","1,307,492","±165","1,307,492","(X)","2,760,226","±407","2,760,226","(X)","497,749","±127","497,749","(X)","827,191","±244","827,191","(X)","1,221,759","±142","1,221,759","(X)","625,337","±147","625,337","(X)","3,604,688","±395","3,604,688","(X)","917,641","±184","917,641","(X)","8,232,039","±1,017","8,232,039","(X)","4,540,697","±422","4,540,697","(X)","368,545","±285","368,545","(X)","5,164,400","±423","5,164,400","(X)","1,721,072","±268","1,721,072","(X)","1,732,887","±235","1,732,887","(X)","5,611,995","±854","5,611,995","(X)","462,598","±288","462,598","(X)","2,236,262","±246","2,236,262","(X)","383,827","±214","383,827","(X)","2,919,698","±359","2,919,698","(X)","10,754,268","±644","10,754,268","(X)","1,054,242","±147","1,054,242","(X)","329,539","±103","329,539","(X)","3,491,185","±609","3,491,185","(X)","3,025,802","±1,111","3,025,802","(X)","886,710","±427","886,710","(X)","2,668,443","±615","2,668,443","(X)","270,625","±109","270,625","(X)","1,555,880","±8,239","1,555,880","(X)"
"        1-unit, detached","1,529,309","±9,490","68.6%","±0.4","200,542","±3,100","64.6%","±1.0","1,891,231","±12,134","63.9%","±0.4","942,198","±8,604","69.5%","±0.6","8,095,544","±23,867","57.6%","±0.2","1,475,203","±9,593","63.1%","±0.4","873,350","±9,073","58.3%","±0.6","246,431","±4,209","57.8%","±1.0","34,643","±2,344","11.0%","±0.7","5,057,293","±20,932","54.4%","±0.2","2,777,765","±13,344","65.8%","±0.3","284,027","±3,984","52.9%","±0.7","513,442","±5,320","73.3%","±0.8","3,141,508","±15,669","59.0%","±0.3","2,076,116","±9,942","72.7%","±0.3","1,016,658","±7,645","73.7%","±0.6","915,910","±7,417","72.7%","±0.6","1,316,580","±10,561","67.0%","±0.5","1,328,833","±11,715","65.2%","±0.6","515,814","±6,100","70.6%","±0.8","1,252,355","±9,583","51.2%","±0.4","1,489,395","±10,446","52.1%","±0.4","3,278,986","±11,823","71.9%","±0.3","1,620,174","±8,676","67.2%","±0.4","906,923","±9,404","69.4%","±0.7","1,929,159","±10,503","69.9%","±0.4","345,631","±4,816","69.4%","±1.0","601,098","±5,192","72.7%","±0.6","727,062","±7,626","59.5%","±0.6","399,831","±5,576","63.9%","±0.9","1,919,230","±13,748","53.2%","±0.4","589,893","±7,918","64.3%","±0.9","3,436,829","±14,860","41.7%","±0.2","2,948,390","±16,083","64.9%","±0.4","214,653","±3,824","58.2%","±1.0","3,542,818","±16,093","68.6%","±0.3","1,250,945","±7,364","72.7%","±0.4","1,098,386","±8,316","63.4%","±0.5","3,196,708","±12,728","57.0%","±0.2","246,822","±4,610","53.4%","±1.0","1,406,900","±11,824","62.9%","±0.5","261,245","±3,611","68.1%","±0.9","1,991,646","±12,085","68.2%","±0.4","6,983,186","±23,653","64.9%","±0.2","727,987","±6,653","69.1%","±0.6","219,066","±3,528","66.5%","±1.1","2,141,813","±12,459","61.3%","±0.4","1,924,093","±12,459","63.6%","±0.4","622,524","±7,016","70.2%","±0.8","1,768,599","±9,454","66.3%","±0.4","179,295","±3,780","66.3%","±1.4","1,065,933","±9,518","68.5%","±0.5"
"        1-unit, attached","34,266","±2,634","1.5%","±0.1","20,740","±1,983","6.7%","±0.6","149,817","±5,719","5.1%","±0.2","22,946","±2,364","1.7%","±0.2","984,309","±16,740","7.0%","±0.1","162,969","±5,341","7.0%","±0.2","82,285","±4,076","5.5%","±0.3","69,916","±3,184","16.4%","±0.7","77,814","±3,155","24.8%","±1.0","583,925","±11,268","6.3%","±0.1","157,465","±6,773","3.7%","±0.2","49,772","±2,690","9.3%","±0.5","21,318","±2,350","3.0%","±0.3","302,044","±6,174","5.7%","±0.1","110,402","±5,067","3.9%","±0.2","53,074","±2,953","3.8%","±0.2","58,009","±3,650","4.6%","±0.3","48,557","±3,118","2.5%","±0.2","51,785","±3,453","2.5%","±0.2","18,560","±2,255","2.5%","±0.3","530,167","±8,843","21.7%","±0.4","145,650","±5,701","5.1%","±0.2","225,030","±6,210","4.9%","±0.1","176,474","±5,651","7.3%","±0.2","15,492","±2,325","1.2%","±0.2","88,337","±4,322","3.2%","±0.2","18,861","±1,980","3.8%","±0.4","34,082","±2,456","4.1%","±0.3","58,882","±3,679","4.8%","±0.3","34,548","±2,655","5.5%","±0.4","349,756","±7,491","9.7%","±0.2","31,748","±2,575","3.5%","±0.3","406,772","±7,405","4.9%","±0.1","186,934","±7,438","4.1%","±0.2","21,915","±2,342","5.9%","±0.6","231,926","±7,538","4.5%","±0.1","36,090","±2,447","2.1%","±0.1","81,994","±3,932","4.7%","±0.2","1,041,696","±12,755","18.6%","±0.2","15,443","±1,469","3.3%","±0.3","70,730","±4,734","3.2%","±0.2","13,182","±1,567","3.4%","±0.4","89,256","±4,406","3.1%","±0.2","284,598","±7,955","2.6%","±0.1","63,418","±3,415","6.0%","±0.3","13,669","±1,606","4.1%","±0.5","389,824","±7,901","11.2%","±0.2","115,387","±4,389","3.8%","±0.1","20,336","±2,078","2.3%","±0.2","115,162","±4,207","4.3%","±0.2","12,160","±2,026","4.5%","±0.7","176,279","±6,403","11.3%","±0.4"
